경찰서,관서명,구분,주소,Coordinates,,,,,,,,,,,,,,,,,,,,
서울종암,월곡,지구대,서울특별시 성북구 종암로32길 5 월곡지구대,"37.6043982,127.0324129",,,,,,,,,,,,,,,,,,,,
서울종암,종암,파출소,서울특별시 성북구 종암로23길 52,"37.6000864,127.0312535",,,,,,,,,,,,,,,,,,,,
서울구로,신구로,지구대,서울특별시 구로구 새말로 26 신구로지구대,"37.5022496,126.8838927",,,,,,,,,,,,,,,,,,,,
서울구로,오류,지구대,서울특별시 구로구 고척로1길 34 오류지구대,"37.4947379,126.8388078",,,,,,,,,,,,,,,,,,,,
서울구로,구일,지구대,서울특별시 구로구 도림로 63 구일지구대,"37.4892371,126.8907025",,,,,,,,,,,,,,,,,,,,
서울구로,고척,지구대,서울특별시 구로구 중앙로 15길 30 고척지구대,"37.50654,126.8582329",,,,,,,,,,,,,,,,,,,,
서울구로,개봉,지구대,서울특별시 구로구 개봉로18길 5 개봉지구대,"37.4918286,126.8564568",,,,,,,,,,,,,,,,,,,,
서울구로,구로3,파출소,서울특별시 구로구 디지털로31길 86 구로3파출소,"37.4866541,126.8913691",,,,,,,,,,,,,,,,,,,,
서울구로,가리봉,파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소,"37.4791578,126.8926325",,,,,,,,,,,,,,,,,,,,
서울구로,천왕,파출소,서울특별시 구로구 오리로 1102-8,"37.4834277,126.84181",,,,,,,,,,,,,,,,,,,,
서울서초,반포,지구대,서울특별시 서초구 신반포로190,"37.5059834,127.0051816",,,,,,,,,,,,,,,,,,,,
서울서초,서초2,파출소,서울 서초구 서운로 38,"37.4875131,127.0289593",,,,,,,,,,,,,,,,,,,,
서울서초,서초3,파출소,서울 서초구 반포대로30길 40,"37.4919865,127.0107859",,,,,,,,,,,,,,,,,,,,
서울서초,양재,파출소,서울 서초구 남부순환로356길 9,"37.4845428,127.0378441",,,,,,,,,,,,,,,,,,,,
서울서초,서초,파출소,서울 서초구 효령로 297,"37.4852897,127.0167473",,,,,,,,,,,,,,,,,,,,
서울서초,우면,파출소,서울 서초구 양재대로2길 106,"37.4561028,127.0160228",,,,,,,,,,,,,,,,,,,,
서울서초,내곡,파출소,서울특별시 서초구 헌릉로 226,"37.454992,127.0648545",,,,,,,,,,,,,,,,,,,,
서울양천,목1,지구대,서울특별시 양천구 목동동로 373,"37.5351903,126.8785906",,,,,,,,,,,,,,,,,,,,
서울양천,목2,지구대,서울특별시 양천구 등촌로 166,"37.5445156,126.862375",,,,,,,,,,,,,,,,,,,,
서울양천,신정1,지구대,서울특별시 양천구 중앙로32길 65,"37.5202891,126.8607933",,,,,,,,,,,,,,,,,,,,
서울양천,신정2,지구대,서울특별시 양천구 목동로17길 5,"37.5244487,126.863509",,,,,,,,,,,,,,,,,,,,
서울양천,신월2,지구대,서울특별시 양천구 지양로 55,"37.51974260000001,126.8349027",,,,,,,,,,,,,,,,,,,,
서울양천,신월1,파출소,서울특별시 양천구 남부순환로59길 8,"37.5320806,126.8322435",,,,,,,,,,,,,,,,,,,,
